Title,Author
約束のネバーランド,白井カイウ
BEASTARS,板垣巴留
不滅のあなたへ,大今良時
月曜日の友達,阿部共実
衛府の七忍,山口貴由
とンがり帽子のアトリエ,白浜鴎
ゴールデンカムイ,野田サトル
1日外出録ハンチョウ,"萩原天晴,上原求,新井和也,福本伸行"
血の轍,押見修造
バイオレンスアクション,浅井蓮次
天国大魔境,石黒正数
金剛寺さんは面倒臭い,とよ田みのる
彼方のアストラ,篠原健太
ブルーピリオド,山口つばさ
終末のワルキューレ,"梅村真也,フクイタクミ,アジチカ"
昭和天皇物語,"能條純一,半藤一利,永福一成,志波秀宇"
ルーザーズ〜日本初の週刊青年漫画誌の誕生〜,吉本浩二
極主夫道,おおのこうすけ
来世は他人がいい,小西明日翔
天地創造デザイン部,"蛇蔵,鈴木ツタ,たら子"
SPY×FAMILY,遠藤達哉
ロボ・サピエンス前史,島田虎之介
僕の心のヤバイやつ,桜井のりお
チェンソーマン,藤本タツキ
水は海に向かって流れる,田島列島
鬼滅の刃,吾峠呼世晴
王様ランキング,十日草輔
スキップとローファー,高松美咲
パンダ探偵社,澤江ポンプ
有害無罪玩具,詩野うら
葬送のフリーレン,"山田鐘人,アベツカサ"
九龍ジェネリックロマンス,眉月じゅん
竜女戦記,都留泰作
ダンピアのおいしい冒険,トマトスープ
大ダーク,林田球
忍者と極道,近藤信輔
ベルリンうわの空,香山哲
ルックバック,藤本タツキ
チ。-地球の運動について-,魚豊
怪獣8号,松本直也
ダンダダン,龍幸伸
東京ヒゴロ,松本大洋
【推しの子】,"赤坂アカ,横槍メンゴ"
トリリオンゲーム,"稲垣理一郎,池上遼一"
ペリリュー 楽園のゲルニカ,"武田一義,平塚柾緒"
ダーウィン事変,うめざわしゅん
光が死んだ夏,モクモクれん
さよなら絵梨,藤本タツキ
タコピーの原罪,タイザン5
あかね噺,"末永裕樹,馬上鷹将"
劇光仮面,山口貴由
これ描いて死ね,とよ田みのる
スーパーの裏でヤニ吸うふたり,地主
ONE PIECE,尾田栄一郎
正反対な君と僕,阿賀沢紅茶
緑の歌 - 収集群風 -,高妍
マロニエ王国の七人の騎士,岩本ナオ
ポーの一族,萩尾望都
サトコとナダ,ユペチカ
たそがれたかこ,入江喜和
タイムスリップオタガール,佐々木陽子
傘寿まり子,おざわゆき
きみを死なせないための物語,吟鳥子
ストレンジ,つゆきゆるこ
大きい犬,スケラッコ
7SEEDS,田村由美
メタモルフォーゼの縁側,鶴谷香央理
ミステリと言う勿れ,田村由美
凪のお暇,コナリミサト
違国日記,ヤマシタトモコ
おじさまと猫,桜井海
犬と猫どっちも飼ってると毎日たのしい,松本ひで吉
ギガタウン 漫符図譜,こうの史代
ちいさこの庭,小玉ユキ
マキとマミ〜上司が衰退ジャンルのオタ仲間だった話〜,町田粥
君は春に目を醒ます,縞あさと
さよならミニスカート,牧野あおい
夢中さ、きみに。,和山やま
あした死ぬには、,雁須磨子
心臓,奥田亜紀子
ポーの一族 ユニコーン,萩尾望都
てだれもんら,中野シズカ
裸一貫！ つづ井さん,つづ井
ゆりあ先生の赤い糸,入江喜和
女の園の星,和山やま
後ハッピーマニア,安野モヨコ
薔薇はシュラバで生まれる,笹生那実
マイ・ブロークン・マリコ,平庫ワカ
カラオケ行こ！,和山やま
わたしの幸せな結婚,"顎木あくみ,月岡月穂,高坂りと"
かしこくて勇気ある子ども,山本美希
消えた初恋,"ひねくれ渡,アルコ"
ゆびさきと恋々,森下suu
海が走るエンドロール,たらちねジョン
作りたい女と食べたい女,ゆざきさかおみ
大奥,よしながふみ
うるわしの宵の月,やまもり三香
ブランクスペース,熊倉献
かげきしょうじょ!!,斉木久美子
しあわせは食べて寝て待て,水凪トリ
ブランチライン,池辺葵
天幕のジャードゥーガル,トマトスープ
ジーンブライド,高野ひと深
まじめな会社員,冬野梅子
女の子がいる場所は,やまじえびね
星旅少年,坂月さかな
ブスなんて言わないで,とあるアラ子
太陽よりも眩しい星,河原和音
多聞くん今どっち!?,師走ゆき
わたしたちは無痛恋愛がしたい,瀧波ユカリ
